application_id,jobseeker_id,job_role,industry,employer_id,application_date,status
A10001,JS19344,Software Engineer,IT,EMP10108,2024-11-20,Pending
A10002,JS17879,Store Manager,Retail,EMP10364,2025-01-09,Pending
A10003,JS14354,Data Analyst,IT,EMP10130,2025-01-06,Accepted
A10004,JS13184,Production Manager,Manufacturing,EMP10107,2024-06-05,Accepted
A10005,JS17432,Cybersecurity Specialist,IT,EMP10021,2024-11-21,Accepted
A10006,JS11670,Pharmacist,Healthcare,EMP10361,2025-02-11,Accepted
A10007,JS18180,Brand Manager,Marketing,EMP10204,2024-11-03,Accepted
A10008,JS13671,Brand Manager,Marketing,EMP10166,2024-08-09,Accepted
A10009,JS13519,Production Manager,Manufacturing,EMP10042,2025-01-16,Rejected
A10010,JS18092,Academic Counselor,Education,EMP10361,2025-01-26,Accepted
A10011,JS19689,Pharmacist,Healthcare,EMP10242,2024-07-17,Accepted
A10012,JS10532,Brand Manager,Marketing,EMP10129,2024-09-02,Rejected
A10013,JS13869,Pharmacist,Healthcare,EMP10494,2024-12-03,Rejected
A10014,JS18420,Librarian,Education,EMP10293,2024-12-26,Accepted
A10015,JS10371,Marketing Specialist,Marketing,EMP10123,2024-07-30,Rejected
A10016,JS16574,Financial Analyst,Finance,EMP10034,2025-02-02,Accepted
A10017,JS18956,Librarian,Education,EMP10026,2024-05-25,Accepted
A10018,JS16957,Investment Banker,Finance,EMP10074,2024-12-30,Accepted
A10019,JS10206,Librarian,Education,EMP10347,2024-11-16,Rejected
A10020,JS19072,Merchandiser,Retail,EMP10044,2024-09-16,Rejected
A10021,JS15548,Merchandiser,Retail,EMP10355,2025-01-12,Rejected
A10022,JS19660,Store Manager,Retail,EMP10490,2024-12-31,Rejected
A10023,JS16015,Financial Analyst,Finance,EMP10056,2024-08-09,Rejected
A10024,JS17166,Teacher,Education,EMP10408,2024-06-23,Rejected
A10025,JS16364,Production Manager,Manufacturing,EMP10209,2025-01-18,Rejected
A10026,JS14927,Teacher,Education,EMP10295,2024-06-30,Rejected
A10027,JS11816,Merchandiser,Retail,EMP10112,2024-07-18,Accepted
A10028,JS19951,Financial Analyst,Finance,EMP10289,2024-04-24,Accepted
A10029,JS18762,SEO Analyst,Marketing,EMP10441,2024-05-11,Accepted
A10030,JS13624,Production Manager,Manufacturing,EMP10069,2024-11-09,Accepted
A10031,JS17299,Supply Chain Analyst,Manufacturing,EMP10218,2024-07-16,Rejected
A10032,JS19003,Accountant,Finance,EMP10423,2025-03-05,Accepted
A10033,JS12704,Librarian,Education,EMP10355,2024-08-06,Rejected
A10034,JS19031,Teacher,Education,EMP10389,2024-05-10,Rejected
A10035,JS11991,Investment Banker,Finance,EMP10367,2025-03-10,Rejected
A10036,JS14603,Brand Manager,Marketing,EMP10199,2024-05-15,Accepted
A10037,JS11048,Teacher,Education,EMP10011,2024-05-09,Rejected
A10038,JS15600,Data Analyst,IT,EMP10005,2024-03-15,Rejected
A10039,JS18807,Quality Engineer,Manufacturing,EMP10459,2024-10-07,Accepted
A10040,JS17506,Sales Associate,Retail,EMP10088,2025-02-14,Rejected
A10041,JS16922,Cybersecurity Specialist,IT,EMP10239,2024-11-21,Rejected
A10042,JS17741,Investment Banker,Finance,EMP10148,2024-05-29,Accepted
A10043,JS15261,Teacher,Education,EMP10347,2025-01-09,Rejected
A10044,JS19610,Investment Banker,Finance,EMP10291,2024-06-27,Rejected
A10045,JS10045,Accountant,Finance,EMP10129,2025-01-04,Rejected
A10046,JS13367,SEO Analyst,Marketing,EMP10179,2024-08-16,Rejected
A10047,JS14129,Supply Chain Analyst,Manufacturing,EMP10285,2025-01-27,Accepted
A10048,JS16114,Merchandiser,Retail,EMP10087,2024-06-18,Accepted
A10049,JS16961,Marketing Specialist,Marketing,EMP10306,2024-11-28,Rejected
A10050,JS17416,Merchandiser,Retail,EMP10482,2024-06-23,Rejected
A10051,JS17323,Software Engineer,IT,EMP10434,2025-01-15,Accepted
A10052,JS10067,Nurse,Healthcare,EMP10461,2024-05-01,Accepted
A10053,JS13642,Pharmacist,Healthcare,EMP10445,2024-10-25,Accepted
A10054,JS11350,Accountant,Finance,EMP10255,2024-10-16,Pending
A10055,JS12424,Quality Engineer,Manufacturing,EMP10214,2024-12-02,Pending
A10056,JS11590,Supply Chain Analyst,Manufacturing,EMP10202,2024-12-20,Rejected
A10057,JS16247,Quality Engineer,Manufacturing,EMP10094,2024-08-08,Accepted
A10058,JS11024,Financial Analyst,Finance,EMP10176,2024-04-27,Rejected
A10059,JS11828,Data Analyst,IT,EMP10183,2024-05-31,Rejected
A10060,JS18225,SEO Analyst,Marketing,EMP10343,2024-09-28,Pending
A10061,JS10576,Investment Banker,Finance,EMP10331,2024-04-02,Rejected
A10062,JS18070,SEO Analyst,Marketing,EMP10189,2024-08-31,Rejected
A10063,JS13627,Marketing Specialist,Marketing,EMP10381,2024-04-09,Rejected
A10064,JS13810,Supply Chain Analyst,Manufacturing,EMP10325,2024-10-14,Rejected
A10065,JS13408,Brand Manager,Marketing,EMP10486,2024-11-29,Rejected
A10066,JS11544,Investment Banker,Finance,EMP10013,2025-02-16,Accepted
A10067,JS14128,Marketing Specialist,Marketing,EMP10103,2024-08-04,Pending
A10068,JS11792,Medical Assistant,Healthcare,EMP10250,2024-03-28,Rejected
A10069,JS16035,Sales Associate,Retail,EMP10354,2025-03-01,Rejected
A10070,JS12358,Store Manager,Retail,EMP10370,2024-12-19,Rejected
A10071,JS12353,Nurse,Healthcare,EMP10094,2024-08-25,Accepted
A10072,JS19907,Marketing Specialist,Marketing,EMP10292,2024-10-18,Accepted
A10073,JS11861,Sales Associate,Retail,EMP10443,2024-10-27,Rejected
A10074,JS18756,Academic Counselor,Education,EMP10354,2025-01-14,Accepted
A10075,JS10843,Merchandiser,Retail,EMP10477,2024-11-19,Accepted
A10076,JS12199,Pharmacist,Healthcare,EMP10423,2024-05-28,Rejected
A10077,JS10516,Quality Engineer,Manufacturing,EMP10255,2024-11-01,Accepted
A10078,JS13149,Merchandiser,Retail,EMP10384,2024-10-29,Accepted
A10079,JS14449,Investment Banker,Finance,EMP10425,2024-06-21,Rejected
A10080,JS12047,Nurse,Healthcare,EMP10261,2024-07-20,Rejected
A10081,JS18640,Medical Assistant,Healthcare,EMP10482,2024-04-08,Accepted
A10082,JS15861,Store Manager,Retail,EMP10205,2024-03-25,Pending
A10083,JS17291,Merchandiser,Retail,EMP10365,2024-08-07,Rejected
A10084,JS19641,Librarian,Education,EMP10239,2024-11-21,Rejected
A10085,JS13864,Data Analyst,IT,EMP10278,2025-02-03,Rejected
A10086,JS15819,Merchandiser,Retail,EMP10088,2024-10-02,Rejected
A10087,JS15618,Merchandiser,Retail,EMP10453,2024-05-27,Accepted
A10088,JS16683,SEO Analyst,Marketing,EMP10180,2024-09-28,Rejected
A10089,JS16211,Librarian,Education,EMP10163,2024-12-15,Accepted
A10090,JS10316,Brand Manager,Marketing,EMP10065,2024-05-09,Rejected
A10091,JS14744,Quality Engineer,Manufacturing,EMP10229,2024-11-05,Pending
A10092,JS13594,Production Manager,Manufacturing,EMP10444,2024-05-04,Accepted
A10093,JS13589,Investment Banker,Finance,EMP10268,2024-04-07,Rejected
A10094,JS17373,SEO Analyst,Marketing,EMP10232,2024-08-06,Rejected
A10095,JS19415,Nurse,Healthcare,EMP10121,2024-05-06,Rejected
A10096,JS18453,Production Manager,Manufacturing,EMP10030,2024-10-23,Rejected
