commission_id,transaction_id,employer_id,jobseeker_id,commission_percentage,commission_amount,commission_date
C10001,T18174,EMP10115,JS13737,8,228.64,2024-12-09
C10002,T11967,EMP10381,JS14457,11,2123.11,2025-01-28
C10003,T16226,EMP10389,JS19941,14,479.64,2025-03-01
C10004,T19213,EMP10495,JS14360,11,328.79,2025-03-01
C10005,T10405,EMP10132,JS15636,15,652.2,2024-09-03
C10006,T15763,EMP10468,JS14425,6,260.64,2024-04-23
C10007,T18340,EMP10342,JS15165,9,322.74,2024-10-09
C10008,T19553,EMP10353,JS15909,13,3321.63,2024-12-15
C10009,T19904,EMP10249,JS16465,9,713.16,2025-01-22
C10010,T18836,EMP10437,JS11096,8,680.16,2024-05-08
C10011,T15780,EMP10269,JS12610,11,2715.46,2025-01-28
C10012,T19644,EMP10487,JS10276,7,717.5,2024-04-18
C10013,T13749,EMP10224,JS15568,15,967.35,2024-11-08
C10014,T15212,EMP10439,JS11054,10,283.5,2025-02-04
C10015,T14292,EMP10225,JS15590,6,110.04,2024-10-03
C10016,T12362,EMP10431,JS16213,5,101.15,2024-05-11
C10017,T13941,EMP10035,JS13084,5,183.8,2024-04-15
C10018,T17523,EMP10428,JS13083,5,448.65,2025-01-16
C10019,T16808,EMP10310,JS10638,15,1475.55,2024-08-06
C10020,T15453,EMP10032,JS11790,15,1036.05,2024-11-26
C10021,T19714,EMP10038,JS13926,5,203.25,2024-03-17
C10022,T19982,EMP10231,JS12838,6,344.28,2025-02-17
C10023,T18228,EMP10302,JS14617,8,65.44,2024-08-26
C10024,T14799,EMP10433,JS17341,9,479.43,2024-11-24
C10025,T12579,EMP10186,JS13805,14,1373.54,2024-05-23
C10026,T14588,EMP10235,JS12518,6,245.76,2024-10-17
C10027,T16123,EMP10304,JS13789,15,1083.9,2024-05-14
C10028,T14034,EMP10246,JS19888,8,273.84,2024-06-04
C10029,T18767,EMP10317,JS17136,10,295.4,2024-04-06
C10030,T14041,EMP10331,JS16325,7,117.53,2024-10-02
C10031,T17202,EMP10023,JS11675,15,670.5,2025-03-06
C10032,T16029,EMP10095,JS18656,11,1749.88,2024-08-04
C10033,T16114,EMP10316,JS15293,14,163.66,2024-09-06
C10034,T11263,EMP10169,JS10360,13,1812.46,2024-11-12
C10035,T16059,EMP10379,JS18675,12,5170.2,2024-11-24
C10036,T17242,EMP10253,JS17077,9,77.13,2024-09-29
C10037,T13609,EMP10359,JS16709,5,110.1,2024-04-24
C10038,T10967,EMP10204,JS16857,15,627.45,2024-11-28
C10039,T11332,EMP10481,JS11729,8,346.16,2024-04-12
C10040,T18930,EMP10150,JS19739,10,288.5,2024-11-22
C10041,T14910,EMP10267,JS17516,13,313.82,2025-01-17
C10042,T18897,EMP10069,JS13685,11,4224.77,2025-01-25
C10043,T15958,EMP10091,JS14535,10,3407.9,2024-03-21
C10044,T16886,EMP10184,JS14420,14,6531.98,2024-10-08
C10045,T17908,EMP10214,JS19876,10,553,2025-01-16
C10046,T18069,EMP10073,JS14941,12,5766.36,2025-03-06
C10047,T16783,EMP10167,JS15176,12,101.52,2024-04-03
C10048,T12172,EMP10031,JS14215,14,785.96,2024-05-09
C10049,T13679,EMP10481,JS15668,11,529.32,2025-03-05
C10050,T18037,EMP10313,JS19373,12,158.88,2025-02-11
C10051,T11948,EMP10295,JS10810,9,218.61,2024-06-10
