transaction_id,employer_id,jobseeker_id,revenue_type,amount,transaction_date
T10001,EMP10072,,Employer Contract,31833,2024-12-29
T10002,EMP10231,,Job Placement Fee,7078,2024-10-17
T10003,EMP10472,JS15650,Job Placement Fee,6270,2024-11-24
T10004,EMP10327,,Job Placement Fee,5554,2024-05-29
T10005,EMP10198,JS16809,Training Program Fee,2676,2024-11-12
T10006,EMP10007,,Job Placement Fee,7812,2024-11-08
T10007,EMP10391,JS11281,Subscription,2158,2025-02-12
T10008,EMP10113,JS13239,Training Program Fee,3594,2024-12-01
T10009,EMP10104,JS12828,Job Placement Fee,4201,2025-01-23
T10010,EMP10343,JS12915,Subscription,1527,2024-08-31
T10011,EMP10144,JS16136,Job Placement Fee,5319,2024-12-10
T10012,EMP10156,,Employer Contract,37250,2024-03-14
T10013,EMP10472,JS15379,Training Program Fee,4631,2024-05-20
T10014,EMP10212,,Employer Contract,17163,2024-08-07
T10015,EMP10187,JS14943,Job Placement Fee,7161,2024-12-28
T10016,EMP10252,,Employer Contract,47430,2024-08-06
T10017,EMP10049,JS10479,Subscription,1033,2024-06-13
T10018,EMP10345,,Job Placement Fee,3140,2024-09-24
T10019,EMP10178,JS11017,Subscription,1062,2024-05-14
T10020,EMP10081,,Training Program Fee,1711,2025-02-14
T10021,EMP10137,,Subscription,1137,2024-03-12
T10022,EMP10161,JS16714,Subscription,1715,2024-09-10
T10023,EMP10314,JS15396,Job Placement Fee,8409,2024-04-27
T10024,EMP10417,JS10310,Training Program Fee,1427,2024-07-24
T10025,EMP10350,,Subscription,2270,2025-03-08
T10026,EMP10231,,Subscription,1621,2024-07-08
T10027,EMP10411,,Job Placement Fee,7336,2024-10-14
T10028,EMP10160,,Subscription,2357,2024-04-11
T10029,EMP10015,JS15592,Subscription,1142,2024-10-10
T10030,EMP10073,JS16746,Training Program Fee,3221,2024-07-15
T10031,EMP10214,,Employer Contract,14210,2024-04-25
T10032,EMP10073,,Job Placement Fee,5456,2024-06-05
T10033,EMP10409,,Training Program Fee,4611,2024-06-05
T10034,EMP10374,,Training Program Fee,3629,2025-01-25
T10035,EMP10470,JS14503,Training Program Fee,1746,2025-02-10
T10036,EMP10421,,Employer Contract,42711,2024-04-20
T10037,EMP10148,JS17974,Employer Contract,18016,2024-04-10
T10038,EMP10109,JS18644,Job Placement Fee,6972,2025-01-20
T10039,EMP10142,,Job Placement Fee,7254,2024-09-09
T10040,EMP10142,JS16164,Training Program Fee,3257,2024-09-24
T10041,EMP10354,,Job Placement Fee,8706,2024-08-19
T10042,EMP10022,,Training Program Fee,4187,2024-04-01
T10043,EMP10494,,Job Placement Fee,5658,2024-07-21
T10044,EMP10053,JS11731,Training Program Fee,1394,2024-08-27
